datetime,year,month,day,hour,day of week,total,place,angbutter,plain bread,jam,croissant,tiramisu croissant,cacao deep,pain au chocolat,almond croissant,croque monsieur,mad garlic,gateau chocolat,pandoro,cheese cake,orange pound,wiener,tiramisu,merinque cookies,americano,caffe latte,milk tea,lemon ade,vanila latte,berry ade,food items,drinks
2019-07-11 15:35:00,YYYY,MM,DD,HH,Thur,23800,,1,,,,3,,,,,,,,,,,,,1,,,,1,,,
2019-07-11 16:10:00,YYYY,MM,DD,HH,Thur,15800,,1,,,,1,,,,,,,,,1,,,,,,,,,,,
2019-07-12 11:49:00,YYYY,MM,DD,HH,Fri,58000,,,,,,14,,,,,,,,,,,,,,,,,,,,
2019-07-13 13:19:00,YYYY,MM,DD,HH,Sat,14800,,1,1,,,,,,,,,,,,,,,,,,,,1,,,
2019-07-13 13:22:00,YYYY,MM,DD,HH,Sat,15600,,2,,,,1,,,,,,,,,,,,,,,,,,,,
2019-07-13 14:54:00,YYYY,MM,DD,HH,Sat,15800,,1,,,,,,,,,,,,,,,,,,,1,,1,,,
2019-07-13 15:08:00,YYYY,MM,DD,HH,Sat,15800,,1,,,,,,,,,,,,,1,,,,,,,,1,,,
2019-07-13 15:09:00,YYYY,MM,DD,HH,Sat,14000,,,,,,2,1,,,,,,,,,,,,,,,,,,,
2019-07-13 15:23:00,YYYY,MM,DD,HH,Sat,19100,,2,1,,,1,,,,,,,,,,,,,,,,,,,,
2019-07-13 16:32:00,YYYY,MM,DD,HH,Sat,22300,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,
2019-07-14 11:08:00,YYYY,MM,DD,HH,Sun,15300,,1,,,,1,,,,,,,,,,,,,,,,,1,,,
2019-07-14 11:15:00,YYYY,MM,DD,HH,Sun,27600,,2,,,,1,,,,,,,,,,,,,3,,,,,,,
2019-07-14 11:44:00,YYYY,MM,DD,HH,Sun,26300,,1,,,,2,2,,,,,,,,,,,,,,,,1,,,
2019-07-14 11:59:00,YYYY,MM,DD,HH,Sun,19800,,1,,,,1,,,,,,,,,1,,,,,,,,1,,,
2019-07-14 12:59:00,YYYY,MM,DD,HH,Sun,18300,,1,,,,,1,,,,,,,,1,,,,,,,,,,,
2019-07-14 13:05:00,YYYY,MM,DD,HH,Sun,15600,,2,,,,1,,,,,,,,,,,,,,,,,,,,
2019-07-14 14:06:00,YYYY,MM,DD,HH,Sun,23600,,2,,,,1,1,,,,,,,,1,,,,,,,,,,,
2019-07-14 14:41:00,YYYY,MM,DD,HH,Sun,20100,,2,,,,1,,,,,,,,,,,,,,,,,1,,,
2019-07-14 14:51:00,YYYY,MM,DD,HH,Sun,25600,,2,,1,,,,,,,,,,,1,,,,,1,,,,,,
2019-07-14 15:02:00,YYYY,MM,DD,HH,Sun,19800,,1,,,,1,,,,,,,,,1,,,,,,,,1,,,
2019-07-15 11:45:00,YYYY,MM,DD,HH,Mon,15100,,2,,,,,1,,,,,,,,,,,,,,,,,,,
2019-07-15 16:21:00,YYYY,MM,DD,HH,Mon,15800,,1,,,,1,,,,,,,,,,,,,,,,1,,,,
2019-07-17 11:47:00,YYYY,MM,DD,HH,Wed,17800,,1,1,,,1,,,,,,,,,,,,,,,,,,,,
2019-07-17 13:23:00,YYYY,MM,DD,HH,Wed,14800,,3,,,1,,,1,,,,,,,,,,,,,,,,,,
2019-07-17 14:16:00,YYYY,MM,DD,HH,Wed,23400,,1,,2,,,,,,,,1,,,1,,,,,,,,,,,
2019-07-17 16:32:00,YYYY,MM,DD,HH,Wed,18100,,1,1,,,,,,,,,,,,,,,,,,,,,1,,
2019-07-19 11:43:00,YYYY,MM,DD,HH,Fri,14800,,1,,,1,1,,1,,,,,,,,,,,,,,,,,,
2019-07-19 12:11:00,YYYY,MM,DD,HH,Fri,15800,,1,,,,,,,,,,,,,1,,,,,,,,,1,,
2019-07-19 12:36:00,YYYY,MM,DD,HH,Fri,21800,,1,,,1,2,,1,,,,,,,,,,,,,,,,,,
2019-07-19 12:44:00,YYYY,MM,DD,HH,Fri,20600,,2,,,,1,,,,,,,,,1,,,,,,,,,,,
2019-07-19 13:35:00,YYYY,MM,DD,HH,Fri,14800,,1,,,1,1,,,,,,,,,,,,,,,,,,,,
2019-07-19 13:50:00,YYYY,MM,DD,HH,Fri,15100,,2,,,,,,1,,,,,,,,,,,,,,,,,,
2019-07-19 14:12:00,YYYY,MM,DD,HH,Fri,58000,,,,,16,,,,,,,,,,,,,,,,,,,,,
2019-07-19 15:33:00,YYYY,MM,DD,HH,Fri,35900,,3,,,3,2,,,,,,,,,,,,,,,,,,,,
2019-07-20 11:19:00,YYYY,MM,DD,HH,Sat,15800,,1,,,,,,,,,,,,,1,,,,,,1,,,,,
2019-07-20 11:35:00,YYYY,MM,DD,HH,Sat,18800,,1,,,1,,,,,,,,,,,,,,1,1,,,,,,
2019-07-20 11:40:00,YYYY,MM,DD,HH,Sat,22800,,1,,1,,1,,1,,,,1,,,,,1,,,,,,,,,
2019-07-20 11:44:00,YYYY,MM,DD,HH,Sat,16400,,3,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-20 12:08:00,YYYY,MM,DD,HH,Sat,15800,,1,,,,,,,,,,,1,,,,1,,,,,,,,,
2019-07-20 12:13:00,YYYY,MM,DD,HH,Sat,26300,,1,,,,,,1,,,,,,,1,1,1,,,1,,,,,,
2019-07-20 12:31:00,YYYY,MM,DD,HH,Sat,14800,,1,,,,,,1,,,,,,,,,,,,1,,,,,,
2019-07-20 12:55:00,YYYY,MM,DD,HH,Sat,15800,,1,,,,1,,,,,,,,,1,,,,,,,,,,,
2019-07-20 13:19:00,YYYY,MM,DD,HH,Sat,20500,,,,,2,1,,2,,,,,,,,,,,,,,,,,,
2019-07-20 13:44:00,YYYY,MM,DD,HH,Sat,18600,,2,,,1,,,1,,,,,,,,,,,,,,,,,,
2019-07-20 13:56:00,YYYY,MM,DD,HH,Sat,17800,,1,,,1,,,1,,,,,,,,,,,1,,,,,,,
2019-07-21 11:07:00,YYYY,MM,DD,HH,Sun,18600,,1,,,1,,,,,,,1,,,,,1,,,,,,,,,
2019-07-21 11:42:00,YYYY,MM,DD,HH,Sun,17300,,1,1,,1,,,1,,,,,,,,,,,,,,,,,,
